Product Name,Category,Description,Image URL,Image Alt Text,SEO Title,Variant Option,Price,Stock Qty,Weight (g),Animal Type,Color,Material,Features
Red/Black Stripe Tube Harness with Built-In Leash – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Harnesses,"Make every walk stylish and safe with Petopia’s Red/Black Stripe Tube Harness with Built-In Leash. Designed using reinforced tubular nylon, it combines durability with a soft, padded feel for your dog’s comfort. The built-in leash offers convenience and secure control, while the adjustable chest strap provides a perfect fit. Its bold red and black stripes exude sporty energy, ideal for daily walks or outdoor activities. Washable, quick-dry, and made to endure every adventure.",,,Red/Black Tube Harness with Built-In Leash | Bold & Durable – Petopia,Size - S,565,2,500,dogs,striped,nylon,quick-release; adjustable
Orange/Black Stripe Tube Harness with Built-In Leash – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Harnesses,"Vibrant, bold, and convenient — Petopia’s Orange/Black Stripe Tube Harness is designed for dogs who love adventure. The dual-tone tubular nylon material offers both resilience and comfort, while the built-in leash provides quick, secure handling. Adjustable straps ensure a custom fit that stays comfortable during long walks. The bright orange color improves visibility, making it ideal for outdoor play and evening strolls. Easy to wash, quick to dry, and built to last.",,,Orange/Black Tube Harness with Built-In Leash | Bright & Strong – Petopia,Size - S,565,1,500,dogs,striped,nylon,quick-release; adjustable
Blue/Black Stripe Tube Harness with Built-In Leash – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Harnesses,"Give your dog a sleek, sporty look with Petopia’s Blue/Black Stripe Tube Harness featuring a built-in leash. Crafted from premium tubular nylon, it provides flexibility, strength, and breathability for ultimate comfort. The integrated leash ensures you’re always ready for walks without extra hassle. Its ergonomic design evenly distributes pressure, keeping your pet secure and strain-free. The dual-tone stripes add a touch of modern style while maintaining durability for long-term use.",,,Blue/Black Tube Harness with Built-In Leash | Durable & Stylish – Petopia,Size - S,565,1,500,dogs,striped,nylon,quick-release; adjustable
Black/White Stripe Tube Harness with Built-In Leash – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Collars & Harnesses > Harnesses,"Smart design meets all-in-one convenience with Petopia’s Black/White Stripe Tube Harness. This harness comes with an integrated leash made from soft yet durable tubular nylon, ensuring strength and comfort in every walk. The striped pattern adds a classic look, while the lightweight structure prevents pulling or irritation. The built-in leash allows for quick outings without needing extra accessories, making it perfect for busy pet parents. Breathable, adjustable, and gentle on fur — it’s your go-to harness for effortless control and everyday use.",,,Black/White Tube Harness with Built-In Leash | Smart & Comfortable – Petopia,Size - S,565,0,500,dogs,striped,nylon,quick-release; adjustable
Petopia Designer Dog Leash – Red Bone Print,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Add a touch of fun to every outing with Petopia’s Red Bone Designer Dog Leash. Made from premium breathable cotton webbing, it’s soft on your hands yet strong enough for everyday use. The vivid red pattern with colorful bones makes it playful and bright. With a secure swivel hook and extra grip padding, this leash keeps you and your dog walking in comfort and confidence.",https://drive.google.com/file/d/1NSYHmPG_vyH07YKc7FO2dxVidjOtChZo/view?usp=drivesdk,,Red Bone Designer Dog Leash | Petopia Fun Style,Belt Width - 0.75 Inch,225,0,0,dogs,multicolor; geometric,cotton; fabric,washable
Petopia Designer Dog Leash – Tribal Red Star Pattern,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Celebrate craftsmanship with Petopia’s Tribal Red Star Designer Dog Leash. The earthy beige background and red tribal motifs make it a striking piece of wearable art. Made with cotton webbing and soft padding, it provides supreme comfort and durability. The strong metal clasp ensures control and security, while the design reflects cultural beauty with a modern touch.",https://drive.google.com/file/d/18t229tCfwWZKw0G1T5aPx1MbQKqvdHhJ/view?usp=drivesdk,,Tribal Red Designer Dog Leash | Petopia Heritage,Belt Width - 0.75 Inch,225,0,0,dogs,multicolor; geometric,cotton; fabric,washable
Teal Blue Light Round Rope Dog Leash with Metal Hook – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Fresh and modern, Petopia’s Light Teal Blue Round Rope Dog Leash brings color and comfort together. Made from durable braided rope with a smooth, rounded feel, it ensures strong control and an easy grip. The high-grade metal clasp locks securely and resists rust. Perfect for daily walks or travel, it adds a cheerful touch to your pet’s look.",https://drive.google.com/file/d/1jCh9FxDWMh68hKMOLNJJeej5eLW0EuRu/view?usp=drivesdk,,Light Teal Blue Rope Dog Leash | Stylish & Durable – Petopia,Belt Width - 15 MM,190,0,0,dogs,sky-bue; blue,metal; nylon; plastic; synthetic,washable; weather-resistant; comfort-padding
Petopia Designer Dog Leash – Blue Bone Print,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Stand out in style with Petopia’s Geometric Red & Orange Designer Leash. Featuring vivid ethnic-inspired patterns, this leash adds vibrance to every outing. Made from premium cotton webbing with reinforced stitching and a padded grip, it ensures both comfort and security. Lightweight and easy to clean, it’s the ideal mix of practicality and bold design.",https://drive.google.com/file/d/12TjQgfeniGDFQDaKPYCO2xFGuVYX3VTe/view?usp=drivesdk,,Blue Bone Designer Dog Leash | Petopia Playful,Belt Width - 0.75 Inch,225,0,0,dogs,multicolor,cotton; fabric,washable
Petopia Designer Dog Leash – Geometric Red & Orange Pattern,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Stand out in style with Petopia’s Geometric Red & Orange Designer Leash. Featuring vivid ethnic-inspired patterns, this leash adds vibrance to every outing. Made from premium cotton webbing with reinforced stitching and a padded grip, it ensures both comfort and security. Lightweight and easy to clean, it’s the ideal mix of practicality and bold design.",https://drive.google.com/file/d/1CacJ1FBLw7WcfK5oVktjcq0NnfdOdwPk/view?usp=drivesdk,,Red & Orange Designer Dog Leash | Petopia Chic,Belt Width - 0.75 Inch,225,0,0,dogs,multicolor,cotton; fabric,washable
Teal Blue Dark Round Rope Dog Leash with Metal Hook – Petopia,Animals & Pet Supplies > Pet Supplies > Pet Leashes > Standard Leashes,"Elegant yet strong — Petopia’s Dark Teal Blue Round Rope Dog Leash is crafted for pets who love adventure in style. Its high-strength rope resists fraying, while the polished metal hook adds both security and sophistication. The round shape makes it easy to handle, reducing pressure on your hand during long walks. Lightweight, flexible, and weatherproof.",https://drive.google.com/file/d/125Fq-wWU5PS7L1oX-lPxAS4xtLrD08Fu/view?usp=drivesdk,,Dark Teal Blue Rope Dog Leash | Premium & Secure – Petopia,Belt Width - 15 MM,190,1,0,dogs,,metal; nylon; plastic,washable; weather-resistant; comfort-padding
